class,stream,favorite_subject,interest,skill,overall_marks,math_score,science_score,english_score,logical_reasoning,communication_skill,creativity_score,recommended_career
11,Commerce,Mathematics,Finance,Analysis,76,51,88,73,9,7,1,Financial Analyst
11,Commerce,Business Studies,Management,Communication,70,72,70,68,9,5,5,Business Manager
12,Commerce,Mathematics,Finance,Mathematics,62,71,99,72,2,3,1,Financial Analyst
11,Commerce,Mathematics,Finance,Mathematics,91,83,90,44,10,10,3,Financial Analyst
12,Science,Biology,Healthcare,Research,79,98,60,67,7,3,1,Doctor
11,Science,Mathematics,Programming,Problem Solving,55,48,94,71,3,8,2,Software Engineer
11,Commerce,Mathematics,Finance,Mathematics,83,41,58,70,1,4,8,Financial Analyst
12,Arts,English,Design,Creativity,56,65,65,43,8,7,2,Graphic Designer
11,Arts,History,Writing,Communication,97,98,63,95,4,5,10,Journalist
11,Commerce,Economics,Finance,Analysis,61,70,53,42,6,7,4,Financial Analyst
11,Science,Physics,Engineering,Problem Solving,59,98,83,92,5,4,3,Engineer
12,Arts,History,Writing,Writing,93,71,98,60,9,1,1,Journalist
12,Arts,History,Writing,Communication,76,89,90,65,5,7,1,Journalist
11,Arts,History,Government,Research,91,88,90,84,2,9,2,Civil Services
12,Commerce,Economics,Finance,Mathematics,74,57,75,48,9,8,6,Financial Analyst
11,Science,Chemistry,Healthcare,Research,74,56,62,86,7,5,7,Doctor
12,Science,Physics,Engineering,Problem Solving,93,69,90,92,5,10,7,Engineer
11,Science,Chemistry,Healthcare,Research,57,94,93,42,8,6,7,Doctor
12,Science,Computer Science,Artificial Intelligence,Programming,82,48,88,60,8,5,3,Data Scientist
11,Commerce,Economics,Finance,Mathematics,71,81,71,73,7,1,9,Financial Analyst
12,Science,Computer Science,Artificial Intelligence,Analysis,97,98,66,69,5,10,1,Data Scientist
12,Arts,English,Writing,Writing,61,44,59,62,4,10,8,Journalist
11,Commerce,Business Studies,Business,Leadership,87,76,52,82,5,10,9,Business Manager
12,Commerce,Accountancy,Finance,Mathematics,86,94,57,69,2,3,5,Chartered Accountant
11,Arts,History,Writing,Communication,70,72,41,89,9,6,3,Journalist
12,Commerce,Business Studies,Management,Leadership,86,43,66,68,5,8,9,Business Manager
12,Science,Mathematics,Technology,Programming,58,43,75,51,3,10,3,Data Scientist
12,Arts,English,Writing,Writing,87,59,76,42,1,2,7,Journalist
11,Arts,English,Writing,Writing,97,60,43,64,5,2,10,Journalist
12,Arts,English,Writing,Communication,74,65,94,52,1,9,1,Journalist
12,Commerce,Business Studies,Business,Leadership,68,52,95,99,9,1,6,Business Manager
11,Arts,English,Writing,Writing,90,56,43,69,2,4,3,Journalist
11,Science,Mathematics,Artificial Intelligence,Analysis,78,51,48,72,3,3,9,Data Scientist
11,Commerce,Accountancy,Finance,Mathematics,96,64,98,55,9,8,9,Chartered Accountant
12,Science,Mathematics,Programming,Programming,80,55,76,43,8,4,6,Software Engineer
12,Science,Computer Science,Programming,Problem Solving,88,95,65,57,9,2,9,Software Engineer
11,Science,Chemistry,Healthcare,Communication,64,46,100,55,4,6,6,Doctor
12,Science,Mathematics,Programming,Programming,77,70,58,84,6,3,1,Software Engineer
11,Arts,History,Government,Leadership,76,82,47,62,1,2,10,Civil Services
12,Arts,English,Design,Creativity,98,66,83,86,10,9,5,Graphic Designer
11,Science,Biology,Healthcare,Communication,78,79,56,82,9,9,6,Doctor
11,Science,Mathematics,Artificial Intelligence,Analysis,98,42,84,79,5,7,8,Data Scientist
12,Science,Chemistry,Healthcare,Communication,73,49,70,59,3,5,6,Doctor
12,Arts,History,Writing,Communication,56,90,99,98,3,4,10,Journalist
11,Commerce,Accountancy,Finance,Analysis,78,72,44,54,6,4,10,Chartered Accountant
11,Science,Physics,Engineering,Mathematics,100,71,81,55,9,3,1,Engineer
11,Science,Computer Science,Artificial Intelligence,Analysis,81,58,85,69,2,1,9,Data Scientist
12,Commerce,Mathematics,Finance,Mathematics,92,95,62,100,3,9,10,Financial Analyst
12,Science,Mathematics,Programming,Problem Solving,76,55,98,83,6,5,5,Software Engineer
11,Arts,History,Writing,Communication,72,77,100,94,1,3,10,Journalist
11,Science,Mathematics,Technology,Problem Solving,66,55,46,41,9,3,3,Software Engineer
12,Commerce,Business Studies,Management,Communication,95,54,69,44,3,6,3,Business Manager
11,Science,Biology,Healthcare,Research,94,53,95,88,6,10,4,Doctor
12,Arts,Political Science,Government,Research,55,87,47,51,8,9,4,Civil Services
12,Science,Mathematics,Engineering,Problem Solving,59,74,86,99,10,2,2,Engineer
11,Science,Computer Science,Technology,Analysis,98,88,89,41,6,8,1,Data Scientist
12,Arts,English,Design,Creativity,83,71,99,68,5,1,8,Graphic Designer
12,Science,Chemistry,Healthcare,Communication,67,81,63,76,9,5,8,Doctor
12,Commerce,Business Studies,Business,Communication,62,52,57,81,9,2,1,Business Manager
11,Commerce,Economics,Finance,Analysis,55,79,84,90,5,8,5,Financial Analyst
12,Arts,History,Government,Leadership,63,41,70,70,10,3,1,Civil Services
11,Science,Physics,Engineering,Problem Solving,80,40,46,92,8,5,1,Engineer
11,Science,Biology,Healthcare,Communication,63,54,64,43,2,6,5,Doctor
11,Science,Biology,Healthcare,Research,81,88,78,47,4,10,10,Doctor
12,Commerce,Economics,Finance,Mathematics,61,99,74,64,7,6,7,Chartered Accountant
11,Science,Chemistry,Healthcare,Research,61,55,57,62,1,3,10,Doctor
11,Arts,English,Design,Creativity,59,98,85,56,10,6,3,Graphic Designer
12,Science,Mathematics,Technology,Programming,87,66,85,40,10,4,3,Data Scientist
12,Science,Mathematics,Technology,Programming,68,54,63,41,3,9,10,Software Engineer
12,Arts,English,Writing,Writing,97,51,81,79,6,7,4,Journalist
11,Commerce,Business Studies,Business,Leadership,81,62,42,86,5,7,6,Business Manager
12,Arts,English,Design,Creativity,79,74,80,53,8,7,5,Graphic Designer
11,Science,Mathematics,Engineering,Problem Solving,86,45,86,64,5,2,9,Engineer
11,Commerce,Economics,Finance,Mathematics,92,45,43,90,2,7,1,Financial Analyst
11,Science,Computer Science,Technology,Programming,69,55,71,70,7,3,4,Data Scientist
11,Arts,English,Writing,Writing,70,85,64,59,2,2,5,Journalist
11,Arts,History,Government,Research,57,48,94,74,2,6,2,Civil Services
12,Commerce,Business Studies,Management,Leadership,57,81,88,91,8,7,7,Business Manager
12,Commerce,Business Studies,Business,Leadership,72,74,68,46,2,6,7,Business Manager
11,Science,Chemistry,Healthcare,Communication,89,80,91,75,6,8,10,Doctor
11,Commerce,Mathematics,Finance,Analysis,78,76,96,88,5,7,10,Financial Analyst
11,Arts,English,Design,Creativity,70,64,69,100,7,3,9,Graphic Designer
12,Science,Chemistry,Healthcare,Communication,79,41,67,87,9,3,3,Doctor
12,Science,Computer Science,Programming,Problem Solving,100,55,62,55,2,10,4,Software Engineer
11,Science,Mathematics,Technology,Analysis,87,51,82,74,1,8,7,Data Scientist
12,Arts,English,Design,Creativity,61,96,44,96,3,3,2,Graphic Designer
12,Commerce,Economics,Finance,Mathematics,88,62,94,61,2,5,9,Chartered Accountant
12,Commerce,Business Studies,Business,Leadership,72,72,89,52,3,3,7,Business Manager
11,Science,Computer Science,Technology,Analysis,89,65,86,46,4,9,3,Data Scientist
