name,age,stream,math_score,science_score,english_score,computer_score,attendance,family_income,study_hours,financial_problem,mental_stress,internet_access,parental_support,recommended_career,dropout_risk
Student_1,17,Science,62,69,75,71,76,High,8,Yes,Low,No,High,Graphic Designer,Medium
Student_2,18,Commerce,78,37,90,97,65,Medium,9,Yes,Medium,No,Medium,Software Engineer,Medium
Student_3,17,Arts,46,62,79,98,93,Medium,4,No,High,Yes,Low,Teacher,Medium
Student_4,19,Arts,94,68,62,45,93,Low,6,Yes,Low,No,Medium,Mechanical Engineer,Medium
Student_5,20,Science,46,60,90,44,78,Low,8,Yes,High,Yes,Low,Mechanical Engineer,Medium
Student_6,17,Commerce,70,42,52,71,64,Medium,6,No,High,No,High,Business Manager,Medium
Student_7,22,Commerce,90,73,83,64,99,High,4,Yes,Medium,No,High,Business Manager,Medium
Student_8,18,Arts,61,90,44,81,95,Low,7,Yes,High,No,High,Doctor,Medium
Student_9,21,Science,62,88,85,48,58,High,1,Yes,Low,Yes,Low,Doctor,High
Student_10,22,Commerce,99,68,62,78,42,Low,1,No,High,No,Low,Data Scientist,High
Student_11,16,Science,51,45,83,82,88,Low,10,No,High,No,High,Graphic Designer,Medium
Student_12,18,Commerce,64,36,73,55,91,High,6,Yes,High,No,Medium,Business Manager,Medium
Student_13,22,Science,87,61,91,39,93,Low,1,Yes,High,Yes,Low,Mechanical Engineer,High
Student_14,18,Arts,59,54,94,55,74,Low,5,Yes,Medium,No,Low,Teacher,Medium
Student_15,16,Commerce,85,44,64,39,59,High,10,Yes,Low,No,Medium,Business Manager,Medium
Student_16,18,Science,66,38,89,35,81,Low,2,No,Medium,No,Medium,Mechanical Engineer,Medium
Student_17,16,Commerce,50,86,63,36,40,Medium,6,No,Medium,Yes,Medium,Doctor,Low
Student_18,18,Science,35,52,79,31,82,Medium,1,Yes,Low,No,Medium,Mechanical Engineer,Medium
Student_19,18,Science,37,97,85,93,47,Low,3,Yes,High,Yes,Low,Doctor,High
Student_20,22,Arts,51,44,86,70,58,Low,1,Yes,Low,No,Low,Lawyer,High
Student_21,22,Commerce,88,42,50,61,43,Medium,6,Yes,High,No,Low,Business Manager,High
Student_22,18,Commerce,74,91,71,32,92,Low,6,Yes,High,Yes,High,Doctor,Medium
Student_23,21,Commerce,73,49,77,45,95,High,3,Yes,High,No,Medium,Business Manager,Medium
Student_24,20,Science,64,75,84,80,87,Low,4,No,Low,Yes,Medium,Graphic Designer,Low
Student_25,21,Science,46,94,46,61,57,Low,3,Yes,High,Yes,Medium,Doctor,High
Student_26,17,Science,90,86,43,42,57,Low,8,Yes,Low,Yes,Medium,Doctor,Medium
Student_27,19,Arts,96,88,61,34,67,Medium,4,Yes,Medium,Yes,Low,Doctor,Medium
Student_28,18,Commerce,45,64,72,60,56,Low,1,No,Medium,Yes,High,Business Manager,Medium
Student_29,17,Science,89,80,84,49,51,Medium,8,No,Low,No,Medium,Mechanical Engineer,Medium
Student_30,18,Commerce,55,62,68,98,58,Low,4,Yes,Medium,Yes,High,Business Manager,Medium
Student_31,16,Science,37,56,78,56,66,Low,10,No,Medium,Yes,Low,Mechanical Engineer,Low
Student_32,20,Commerce,52,56,88,37,44,High,1,No,Medium,No,Low,Business Manager,High
Student_33,18,Commerce,44,77,43,97,59,Medium,10,Yes,Low,No,High,Business Manager,Medium
Student_34,16,Commerce,65,76,65,38,40,Medium,9,Yes,High,No,Medium,Business Manager,High
Student_35,17,Commerce,48,78,42,47,45,High,2,No,High,No,Medium,Business Manager,High
